"","val","var","sim","dwel","room","weather"
"348",890.7,"conv_hge_walls","Base","NE","Dorm. 2","Rio de Janeiro"
"349",1378.4,"conv_hge_walls","Base","NE","Living","Rio de Janeiro"
"350",908.2,"conv_hge_walls","Base","NW","Dorm. 1","Rio de Janeiro"
"351",904.1,"conv_hge_walls","Base","NW","Dorm. 2","Rio de Janeiro"
"352",1424.2,"conv_hge_walls","Base","NW","Living","Rio de Janeiro"
"353",680.9,"conv_hge_walls","Base","SE","Dorm. 1","Rio de Janeiro"
"354",670.1,"conv_hge_walls","Base","SE","Dorm. 2","Rio de Janeiro"
"355",896.3,"conv_hge_walls","Base","SE","Living","Rio de Janeiro"
"356",684,"conv_hge_walls","Base","SW","Dorm. 1","Rio de Janeiro"
"357",670.2,"conv_hge_walls","Base","SW","Dorm. 2","Rio de Janeiro"
"358",896,"conv_hge_walls","Base","SW","Living","Rio de Janeiro"
"359",781.6,"conv_hge_walls","Base","W","Dorm. N","Rio de Janeiro"
"360",631.5,"conv_hge_walls","Base","W","Dorm. S","Rio de Janeiro"
"361",1335.3,"conv_hge_walls","Base","W","Living","Rio de Janeiro"
"362",206.5,"conv_hge_walls","Base","E","Dorm. N","São Paulo"
"363",101.4,"conv_hge_walls","Base","E","Dorm. S","São Paulo"
"364",567.4,"conv_hge_walls","Base","E","Living","São Paulo"
"365",346.1,"conv_hge_walls","Base","NE","Dorm. 1","São Paulo"
"366",392.9,"conv_hge_walls","Base","NE","Dorm. 2","São Paulo"
"367",769.6,"conv_hge_walls","Base","NE","Living","São Paulo"
"368",358.4,"conv_hge_walls","Base","NW","Dorm. 1","São Paulo"
"369",404.1,"conv_hge_walls","Base","NW","Dorm. 2","São Paulo"
"370",803.1,"conv_hge_walls","Base","NW","Living","São Paulo"
"371",186.7,"conv_hge_walls","Base","SE","Dorm. 1","São Paulo"
"372",224.7,"conv_hge_walls","Base","SE","Dorm. 2","São Paulo"
"373",390.7,"conv_hge_walls","Base","SE","Living","São Paulo"
