"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year90",384.8,225.1,98.1,319.2,90.2,46.2,35,147.7,-47.3,21,0.3,-969.8,0.7,-12,0.3,118.077777777778,"E","Dorm. N","São Paulo","Hyp.","TV","Simp."
"year91",387.9,119.5,57.5,179.9,-16.5,38,80.5,77.8,-50,20.2,0.7,-690.6,0.1,-23.1,0.7,85.6555555555556,"E","Dorm. S","São Paulo","Hyp.","TV","Simp."
"year92",762.2,493.3,244.8,799,127.9,180.7,164.2,326.2,-52.2,76.1,0,-2317.1,0.5,-13.2,0,177.073333333333,"E","Living","São Paulo","Hyp.","TV","Simp."
"year93",393.5,360.2,168.9,563.4,220.5,155.6,63.9,123.4,-63.3,31.1,0,-1425.5,0.1,-11,0,126.791666666667,"NE","Dorm. 1","São Paulo","Hyp.","TV","Simp."
"year94",393.1,367.8,179.1,641.7,174.9,183.7,44.5,238.6,-61.8,30.7,0,-1522.7,0.2,-10.4,0,135.091666666667,"NE","Dorm. 2","São Paulo","Hyp.","TV","Simp."
"year95",786.2,845.5,403.7,1166.2,386.9,0,218.3,286.2,-62.4,108.5,0,-3249.4,1.3,-13.4,0,178.725,"NE","Living","São Paulo","Hyp.","TV","Simp."
"year96",393.5,358.7,168.1,559.2,219.3,123.1,63.8,152.9,-63,31.5,0,-1419.8,0.1,-10.9,0,126.308333333333,"NW","Dorm. 1","São Paulo","Hyp.","TV","Simp."
"year97",393.1,367.7,179,641.5,174.8,238.8,44.4,183.5,-61.8,30.6,0,-1522,0.2,-10.4,0,135.033333333333,"NW","Dorm. 2","São Paulo","Hyp.","TV","Simp."
"year98",786.2,845.2,403.5,1165.5,386.8,288.2,218.2,0,-62.4,107.9,0,-3247.4,1.3,-13.4,0,178.62,"NW","Living","São Paulo","Hyp.","TV","Simp."
"year99",396.2,157.7,84.3,249.9,-13.3,86.7,111.6,64.9,-63,15.5,0,-827.8,0.2,-7.5,0,75.6166666666667,"SE","Dorm. 1","São Paulo","Hyp.","TV","Simp."
"year100",394.6,162.1,89,285.3,-11.1,91.6,87.7,117.1,-63.3,15.4,0,-869.8,0.3,-7.3,0,79.7,"SE","Dorm. 2","São Paulo","Hyp.","TV","Simp."
"year101",787.7,371.7,209.3,545.4,60.8,0,201,144.8,-79.6,52.1,0,-1876.1,1.4,-9.5,0,109.595,"SE","Living","São Paulo","Hyp.","TV","Simp."
"year102",396.1,156.2,83.5,246.6,-13.4,64.5,110.5,85.1,-62.8,15.5,0,-822.4,0.3,-7.5,0,75.175,"SW","Dorm. 1","São Paulo","Hyp.","TV","Simp."
"year103",394.6,162.1,89,285.2,-11.1,117,87.7,91.7,-63.3,15.3,0,-869.7,0.3,-7.3,0,79.6916666666667,"SW","Dorm. 2","São Paulo","Hyp.","TV","Simp."
"year104",787.7,371.5,209.1,544.7,60.8,145.3,200.9,0,-79.5,51.9,0,-1874.7,1.4,-9.5,0,109.52,"SW","Living","São Paulo","Hyp.","TV","Simp."
"year105",384.7,230.6,102.1,342.5,93.6,154,40.2,54.7,-45,21.7,0.3,-1005.6,0.9,-11,0.3,121.988888888889,"W","Dorm. N","São Paulo","Hyp.","TV","Simp."
"year106",387.4,123.5,60.4,205.4,-11.2,83.3,84.1,49.1,-48.1,20.6,0.7,-718.4,0.1,-27.9,0.7,88.8888888888889,"W","Dorm. S","São Paulo","Hyp.","TV","Simp."
"year107",762.8,548.4,254.2,878.1,134.8,342.9,170,230.4,-39,82.8,0,-2495.6,1.7,-6,0,188.82,"W","Living","São Paulo","Hyp.","TV","Simp."
