"seed","storey","area","ratio","height","azimuth","shell_wall","abs_wall","shell_roof","abs_roof","wwr_liv","wwr_dorm","u_window","shgc","open_factor","blind","balcony","facade","mirror","epw","targ","month"
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,100,8
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,97.9212962962963,9
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,76.9758064516129,10
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,70.6388888888889,11
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,67.4641577060932,12
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.280015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,13.5259856630824,1
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.280015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,34.6089847549172,2
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.280015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,17.9069878976827,3
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.280015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,39.2638888888889,4
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.280015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,100,5
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.280015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,100,6
